Crested Shelduck,Mangareva Reed Warbler
Tadorna cristata,Acrocephalus astrolabii
Extinct,Extinct
Pink-eared Duck,Moorea Reed Warbler
Malacorhynchus membranaceus,Acrocephalus longirostris
,Extinct
Salvadori's Teal,Garrett's Reed Warbler
Salvadorina waigiuensis,Acrocephalus musae
,Extinct
Muscovy Duck,Chatham Fernbird
Cairina moschata,Poodytes rufescens
,Extinct
White-winged Duck,Marianne White-eye
Asarcornis scutulata,Zosterops semiflavus
,Extinct
Hartlaub's Duck,White-chested White-eye
Pteronetta hartlaubii,Zosterops albogularis
,Extinct
Wood Duck,Robust White-eye
Aix sponsa,Zosterops strenuus
,Extinct
Mandarin Duck,Tasman Starling
Aix galericulata,Aplonis fusca
,Extinct
Maned Duck,Kosrae Starling
Chenonetta jubata,Aplonis corvina
,Extinct
African Pygmy Goose,Mauke Starling
Nettapus auritus,Aplonis mavornata
,Extinct
Cotton Pygmy Goose,Hoopoe Starling
Nettapus coromandelianus,Fregilupus varius
,Extinct
Green Pygmy Goose,Rodrigues Starling
Nettapus pulchellus,Necropsar rodericanus
,Extinct
Brazilian Teal,Kamao
Amazonetta brasiliensis,Myadestes myadestinus
,Extinct
Ringed Teal,Bonin Thrush
Callonetta leucophrys,Zoothera terrestris
,Extinct
Crested Duck,Grand Cayman Thrush
Lophonetta specularioides,Turdus ravidus
,Extinct
Bronze-winged Duck,Bonin Grosbeak
Speculanas specularis,Carpodacus ferreorostris
,Extinct
Baikal Teal,Poo-uli
Sibirionetta formosa,Melamprosops phaeosoma
,Extinct
Garganey,Kakawahie
Spatula querquedula,Paroreomyza flammea
,Extinct
Blue-billed Teal,Lesser Koa Finch
Spatula hottentota,Rhodacanthis flaviceps
,Extinct
Puna Teal,Greater Koa Finch
Spatula puna,Rhodacanthis palmeri
,Extinct
Silver Teal,Kona Grosbeak
Spatula versicolor,Chloridops kona
,Extinct
Red Shoveler,Ou
Spatula platalea,Psittirostra psittacea
,Extinct
Cinnamon Teal,Lanai Hookbill
Spatula cyanoptera,Dysmorodrepanis munroi
,Extinct
Blue-winged Teal,Hawaii Mamo
Spatula discors,Drepanis pacifica
,Extinct
Cape Shoveler,Black Mamo
Spatula smithii,Drepanis funerea
,Extinct
Australasian Shoveler,Ula-ai-hawane
Spatula rhynchotis,Ciridops anna
,Extinct
Northern Shoveler,Laysan Honeycreeper
Spatula clypeata,Himatione fraithii
,Extinct
Gadwall,Greater Amakihi
Mareca strepera,Viridonia sagittirostris
,Extinct
Falcated Duck,Lesser Akialoa
Mareca falcata,Akialoa obscura
,Extinct
Eurasian Wigeon,Oahu Akialoa
Mareca penelope,Akialoa ellisiana
,Extinct
Chiloe Wigeon,Kauai Akialoa
Mareca sibilatrix,Akialoa stejnegeri
,Extinct
American Wigeon,Maui-nui Akialoa
Mareca americana,Akialoa lanaiensis
,Extinct
Amsterdam Wigeon,Oahu Nukupuu
Mareca marecula,Hemignathus lucidus
Extinct,Extinct
African Black Duck,Oahu Akepa
Anas sparsa,Loxops wolstenholmei
,Extinct
Yellow-billed Duck,Bermuda Towhee
Anas undulata,Pipilo naufragus
,Extinct
Meller's Duck,Slender-billed Grackle
Anas melleri,Quiscalus palustris
,Extinct
Pacific Black Duck,St. Kitts Bullfinch
Anas superciliosa,Melopyrrha grandis
,Extinct
